type,season,whitespace,linelen
source,winter,0.16729678638941403,23.252747252747252
source,winter,0.18273134833361526,25.1933937133724
source,winter,0.16573267847296136,25.203943115707823
header,winter,0.16336380111890314,27.117521367521366
source,winter,0.139091958445556,29.202247191011235
source,winter,0.19118753358409457,27.088791848617177
source,winter,0.21640621048905073,29.91376701966717
source,winter,0.1791950548210982,28.018963337547408
source,winter,0.18682107397765912,26.602970146991968
source,winter,0.2073431017530396,27.96713615023474
source,winter,0.1528064382996286,44.45871559633027
source,winter,0.17170329670329665,25.633802816901408
source,winter,0.19392319758322196,26.686821705426357
source,winter,0.18245773289458755,25.92058823529412
source,winter,0.1576635924462011,24.660649819494584
source,winter,0.16391201190332572,21.623478260869565
source,winter,0.1880619909023591,27.98815692079941
header,winter,0.14525666295312367,29.392947103274558
header,winter,0.1867556838686395,23.285714285714285
header,winter,0.15466531440162268,20.757894736842104
header,winter,0.17501842299189385,30.155555555555555
header,winter,0.1573896353166987,33.61290322580645
header,winter,0.14985994397759106,26.167539267015705
header,winter,0.15230224321133412,33.88
header,winter,0.19044696166508568,32.762340036563074
header,winter,0.18434791094052405,29.044402456306095
header,winter,0.18619984085483687,30.126712328767123
header,winter,0.192163177670424,28.442748091603054
header,winter,0.19410456062291437,29.63736263736264
header,winter,0.22849640319519837,30.051724137931036
source,winter,0.1552929828791898,25.057401812688823
source,winter,0.16907425918163355,24.767469719153468
source,winter,0.1847249834327369,24.737704918032787
source,winter,0.12037294739771776,27.961089494163424
source,winter,0.17265193370165743,26.453846153846154
source,winter,0.19472564050052754,27.567569499035233
source,winter,0.22528460155781904,27.19348268839104
source,winter,0.17062180835085616,25.6405648267009
source,winter,0.16907058505363748,28.541166380789022
source,winter,0.17476545935112842,27.72061191626409
source,winter,0.17267977108733512,27.018487394957983
source,winter,0.1611216730038023,28.625850340136054
source,winter,0.16803569842820354,26.590318772136953
source,winter,0.15796401930671344,25.58982826948481
source,winter,0.17152060126157564,23.881410256410255
source,winter,0.2733690360272639,25.125382262996943
source,winter,0.23578595317725748,24.916666666666668
source,winter,0.1997195824894843,30.20705882352941
py,winter,0.360501178513832,35.27789934354486
header,winter,0.22849640319519837,30.051724137931036
source,winter,0.19688971322585247,27.166666666666668
source,winter,0.15452847805788983,25.83116883116883
header,winter,0.17279168634860653,31.786786786786788
source,winter,0.16715834795088502,26.129166666666666
header,winter,0.14567474048442908,26.272727272727273
source,winter,0.1565460286616468,26.690437601296598
source,winter,0.16440597985964,25.363127069009423
source,winter,0.18144222415291056,26.567260640753393
header,winter,0.14808259587020645,30.818181818181817
asm,winter,0.17360912981455068,24.553415061295972
source,winter,0.1791384366467792,25.356410256410257
source,winter,0.17628690386071155,25.16190476190476
source,winter,0.1537247815298306,27.211743119266053
source,winter,0.1978750262991794,24.93377049180328
header,winter,0.14653144440378485,26.9802538787024
source,winter,0.19716554453410085,27.165095986038395
source,winter,0.18345436036647433,27.79664214299189
source,winter,0.17679829767213084,23.615909090909092
source,winter,0.16105519217254982,26.810144927536232
source,winter,0.16289551969710625,24.85362210604929
source,winter,0.1802232854864434,31.181953543776057
source,winter,0.18533274651965437,27.78056628056628
